,country,CountryName,suicides_no,population,suicides_rate_%,lat,lng,Country,Region,Population,Area sq. mi.,Pop. Density per sq. mi.,Coastline coast/area ratio,Climate,Agriculture,Industry,Service,Continent_Name,Country_Name
0,Argentina,Argentina,15321,192171651,0.007972559906872007,-38.416097,-63.61667199999999,Argentina,LATIN AMER. & CARIB    ,39921833,2766890,14.43,0.18,3.0,0.095,0.358,0.547,South America,"Argentina, Argentine Republic"
1,Armenia,Armenia,344,13774584,0.0024973530961080203,40.069099,45.038189,Armenia,C.W. OF IND. STATES ,2976372,29800,99.88,0.0,4.0,0.239,0.343,0.418,Europe,"Armenia, Republic of"
3,Australia,Australia,12891,106496133,0.01210466487078925,-25.274398,133.775136,Australia,OCEANIA                            ,20264082,7686850,2.64,0.34,1.0,0.038,0.262,0.7,Oceania,"Australia, Commonwealth of"
4,Austria,Austria,6433,40215623,0.015996270901982544,47.516231,14.550072,Austria,WESTERN EUROPE                     ,8192880,83870,97.69,0.0,3.0,0.018,0.304,0.678,Europe,"Austria, Republic of"
5,Bahrain,Bahrain,70,5872858,0.0011919239320957533,26.0667,50.5577,Bahrain,NEAR EAST                          ,698585,665,1050.5,24.21,1.0,0.005,0.387,0.608,Asia,"Bahrain, Kingdom of"
6,Belgium,Belgium,9921,52113931,0.01903713615463013,50.503887,4.469936,Belgium,WESTERN EUROPE                     ,10379067,30528,339.99,0.22,3.0,0.01,0.24,0.749,Europe,"Belgium, Kingdom of"
7,Belize,Belize,107,1493072,0.007166432697150572,17.189877,-88.49765,Belize,LATIN AMER. & CARIB    ,287730,22966,12.53,1.68,2.0,0.142,0.152,0.612,North America,Belize
8,Brazil,Brazil,50690,927621774,0.005464511659899867,-14.235004,-51.92528,Brazil,LATIN AMER. & CARIB    ,188078227,8511965,22.1,0.09,2.0,0.084,0.4,0.516,South America,"Brazil, Federative Republic of"
9,Bulgaria,Bulgaria,3939,34983437,0.011259614085374174,42.733883,25.48583,Bulgaria,EASTERN EUROPE                     ,7385367,110910,66.59,0.32,3.0,0.093,0.304,0.603,Europe,"Bulgaria, Republic of"
10,Chile,Chile,9396,80386992,0.011688458252051526,-35.675146999999996,-71.542969,Chile,LATIN AMER. & CARIB    ,16134219,756950,21.31,0.85,3.0,0.06,0.493,0.447,South America,"Chile, Republic of"
11,Colombia,Colombia,10464,215151370,0.004863552576960119,4.570868,-74.297333,Colombia,LATIN AMER. & CARIB    ,43593035,1138910,38.28,0.28,2.0,0.125,0.342,0.533,South America,"Colombia, Republic of"
12,Costa Rica,Costa Rica,1508,21461290,0.007026604644921158,9.748917,-83.753428,Costa Rica,LATIN AMER. & CARIB    ,4075261,51100,79.75,2.52,2.0,0.088,0.299,0.614,North America,"Costa Rica, Republic of"
13,Croatia,Croatia,3668,20522197,0.017873330033816553,45.1,15.200000099999999,Croatia,EASTERN EUROPE                     ,4494749,56542,79.49,10.32,,0.07,0.308,0.622,Europe,"Croatia, Republic of"
14,Cuba,Cuba,7534,53850518,0.01399058036916191,21.521757,-77.78116700000001,Cuba,LATIN AMER. & CARIB    ,11382820,110860,102.68,3.37,2.0,0.055,0.261,0.684,North America,"Cuba, Republic of"
15,Cyprus,Cyprus,193,4020040,0.004800947254256178,35.126413,33.429859,Cyprus,NEAR EAST                          ,784301,9250,84.79,7.01,3.0,0.037,0.198,0.765,Europe,"Cyprus, Republic of"
17,Czech Republic,Czech Republic,7816,49674625,0.01573439155303135,49.81749199999999,15.472961999999999,Czech Republic,EASTERN EUROPE                     ,10235455,78866,129.78,0.0,3.0,0.034,0.393,0.573,Europe,Czech Republic
18,Denmark,Denmark,3052,26371338,0.01157317084176768,56.26392,9.501785,Denmark,WESTERN EUROPE                     ,5450661,43094,126.48,16.97,3.0,0.018,0.246,0.735,Europe,"Denmark, Kingdom of"
19,Ecuador,Ecuador,4216,69109457,0.006100467552508769,-1.8312389999999998,-78.18340599999998,Ecuador,LATIN AMER. & CARIB    ,13547510,283560,47.78,0.79,2.0,0.07,0.312,0.618,South America,"Ecuador, Republic of"
20,El Salvador,El Salvador,2266,28118640,0.00805871123212218,13.794185,-88.89653,El Salvador,LATIN AMER. & CARIB    ,6822378,21040,324.26,1.46,2.0,0.099,0.302,0.599,North America,"El Salvador, Republic of"
21,Estonia,Estonia,1137,6240231,0.018220479338024502,58.595271999999994,25.0136071,Estonia,BALTICS                            ,1324333,45226,29.28,8.39,3.0,0.04,0.294,0.666,Europe,"Estonia, Republic of"
22,Finland,Finland,4415,25555306,0.017276255662913995,61.92410999999999,25.7481511,Finland,WESTERN EUROPE                     ,5231372,338145,15.47,0.37,3.0,0.028,0.295,0.676,Europe,"Finland, Republic of"
23,France,France,49011,298225406,0.016434213522371732,46.227638,2.213749,France,WESTERN EUROPE                     ,60876136,547030,111.28,0.63,4.0,0.022,0.214,0.764,Europe,"France, French Republic"
24,Georgia,Georgia,666,20260500,0.003287184422891834,32.1656221,-82.9000751,Georgia,C.W. OF IND. STATES ,4661473,69700,66.88,0.44,3.0,0.172,0.275,0.553,Europe,Georgia
26,Germany,Germany,50387,390051679,0.012918031818035068,51.165690999999995,10.451526,Germany,WESTERN EUROPE                     ,82422299,357021,230.86,0.67,3.0,0.009,0.296,0.695,Europe,"Germany, Federal Republic of"
27,Greece,Greece,2460,52815746,0.004657701890644506,39.074208,21.824312,Greece,WESTERN EUROPE                     ,10688058,131940,81.01,10.37,3.0,0.054,0.213,0.733,Europe,"Greece, Hellenic Republic"
28,Grenada,Grenada,3,477777,0.0006279079989199983,12.1165,-61.67899999999999,Grenada,LATIN AMER. & CARIB    ,89703,344,260.76,35.17,2.0,0.054,0.18,0.766,North America,Grenada
