country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Sweden,1990,male,75+ years,144,261500,55.07,Sweden1990,0.815,"258,154,283,909",32246,G.I. Generation
Sweden,1990,male,55-74 years,287,798100,35.96,Sweden1990,0.815,"258,154,283,909",32246,G.I. Generation
Sweden,1990,male,35-54 years,340,1174000,28.96,Sweden1990,0.815,"258,154,283,909",32246,Silent
Sweden,1990,male,25-34 years,157,606600,25.88,Sweden1990,0.815,"258,154,283,909",32246,Boomers
Sweden,1990,female,55-74 years,138,883800,15.61,Sweden1990,0.815,"258,154,283,909",32246,G.I. Generation
Sweden,1990,female,75+ years,63,422700,14.9,Sweden1990,0.815,"258,154,283,909",32246,G.I. Generation
Sweden,1990,male,15-24 years,88,600300,14.66,Sweden1990,0.815,"258,154,283,909",32246,Generation X
Sweden,1990,female,35-54 years,156,1130600,13.8,Sweden1990,0.815,"258,154,283,909",32246,Silent
Sweden,1990,female,25-34 years,63,574600,10.96,Sweden1990,0.815,"258,154,283,909",32246,Boomers
Sweden,1990,female,15-24 years,30,571400,5.25,Sweden1990,0.815,"258,154,283,909",32246,Generation X
Sweden,1990,male,5-14 years,4,503700,0.79,Sweden1990,0.815,"258,154,283,909",32246,Generation X
Sweden,1990,female,5-14 years,1,478400,0.21,Sweden1990,0.815,"258,154,283,909",32246,Generation X
Sweden,1991,male,75+ years,130,264600,49.13,Sweden1991,,"270,362,531,377",33623,G.I. Generation
Sweden,1991,male,55-74 years,266,794100,33.5,Sweden1991,,"270,362,531,377",33623,Silent
Sweden,1991,male,35-54 years,375,1189400,31.53,Sweden1991,,"270,362,531,377",33623,Boomers
Sweden,1991,male,25-34 years,162,617400,26.24,Sweden1991,,"270,362,531,377",33623,Boomers
Sweden,1991,male,15-24 years,100,590000,16.95,Sweden1991,,"270,362,531,377",33623,Generation X
Sweden,1991,female,55-74 years,130,878300,14.8,Sweden1991,,"270,362,531,377",33623,Silent
Sweden,1991,female,75+ years,62,429000,14.45,Sweden1991,,"270,362,531,377",33623,G.I. Generation
Sweden,1991,female,35-54 years,162,1144900,14.15,Sweden1991,,"270,362,531,377",33623,Boomers
Sweden,1991,female,25-34 years,62,584100,10.61,Sweden1991,,"270,362,531,377",33623,Boomers
Sweden,1991,female,15-24 years,28,563000,4.97,Sweden1991,,"270,362,531,377",33623,Generation X
Sweden,1991,female,5-14 years,3,480200,0.62,Sweden1991,,"270,362,531,377",33623,Millenials
Sweden,1991,male,5-14 years,3,506100,0.59,Sweden1991,,"270,362,531,377",33623,Millenials
Sweden,1992,male,75+ years,140,268100,52.22,Sweden1992,,"280,312,318,915",34721,G.I. Generation
Sweden,1992,male,35-54 years,359,1202600,29.85,Sweden1992,,"280,312,318,915",34721,Boomers
Sweden,1992,male,55-74 years,232,791400,29.32,Sweden1992,,"280,312,318,915",34721,Silent
Sweden,1992,male,25-34 years,144,626200,23.0,Sweden1992,,"280,312,318,915",34721,Boomers
Sweden,1992,female,55-74 years,129,874000,14.76,Sweden1992,,"280,312,318,915",34721,Silent
Sweden,1992,female,75+ years,58,435000,13.33,Sweden1992,,"280,312,318,915",34721,G.I. Generation
Sweden,1992,female,35-54 years,145,1157500,12.53,Sweden1992,,"280,312,318,915",34721,Boomers
Sweden,1992,male,15-24 years,58,577600,10.04,Sweden1992,,"280,312,318,915",34721,Generation X
Sweden,1992,female,25-34 years,50,592100,8.44,Sweden1992,,"280,312,318,915",34721,Boomers
Sweden,1992,female,15-24 years,37,552200,6.7,Sweden1992,,"280,312,318,915",34721,Generation X
Sweden,1992,male,5-14 years,3,511200,0.59,Sweden1992,,"280,312,318,915",34721,Millenials
Sweden,1992,female,5-14 years,0,485300,0.0,Sweden1992,,"280,312,318,915",34721,Millenials
Sweden,1993,male,75+ years,138,270600,51.0,Sweden1993,,"209,950,792,713",25880,G.I. Generation
Sweden,1993,male,35-54 years,385,1214000,31.71,Sweden1993,,"209,950,792,713",25880,Boomers
Sweden,1993,male,55-74 years,235,790900,29.71,Sweden1993,,"209,950,792,713",25880,Silent
Sweden,1993,male,25-34 years,129,633400,20.37,Sweden1993,,"209,950,792,713",25880,Boomers
Sweden,1993,female,75+ years,61,439800,13.87,Sweden1993,,"209,950,792,713",25880,G.I. Generation
Sweden,1993,female,35-54 years,151,1169000,12.92,Sweden1993,,"209,950,792,713",25880,Boomers
Sweden,1993,female,55-74 years,108,871200,12.4,Sweden1993,,"209,950,792,713",25880,Silent
Sweden,1993,male,15-24 years,68,567200,11.99,Sweden1993,,"209,950,792,713",25880,Generation X
Sweden,1993,female,25-34 years,61,599100,10.18,Sweden1993,,"209,950,792,713",25880,Boomers
Sweden,1993,female,15-24 years,36,542600,6.63,Sweden1993,,"209,950,792,713",25880,Generation X
Sweden,1993,male,5-14 years,1,520500,0.19,Sweden1993,,"209,950,792,713",25880,Millenials
Sweden,1993,female,5-14 years,0,494200,0.0,Sweden1993,,"209,950,792,713",25880,Millenials
Sweden,1994,male,75+ years,137,273500,50.09,Sweden1994,,"226,079,963,712",27658,G.I. Generation
Sweden,1994,male,55-74 years,232,793800,29.23,Sweden1994,,"226,079,963,712",27658,Silent
Sweden,1994,male,35-54 years,347,1225300,28.32,Sweden1994,,"226,079,963,712",27658,Boomers
Sweden,1994,male,25-34 years,139,638400,21.77,Sweden1994,,"226,079,963,712",27658,Boomers
Sweden,1994,female,75+ years,70,444500,15.75,Sweden1994,,"226,079,963,712",27658,G.I. Generation
Sweden,1994,female,55-74 years,119,871900,13.65,Sweden1994,,"226,079,963,712",27658,Silent
Sweden,1994,male,15-24 years,74,561700,13.17,Sweden1994,,"226,079,963,712",27658,Generation X
Sweden,1994,female,35-54 years,134,1179900,11.36,Sweden1994,,"226,079,963,712",27658,Boomers
Sweden,1994,female,25-34 years,51,605300,8.43,Sweden1994,,"226,079,963,712",27658,Boomers
Sweden,1994,female,15-24 years,19,537800,3.53,Sweden1994,,"226,079,963,712",27658,Generation X
Sweden,1994,female,5-14 years,2,507200,0.39,Sweden1994,,"226,079,963,712",27658,Millenials
Sweden,1994,male,5-14 years,0,534800,0.0,Sweden1994,,"226,079,963,712",27658,Millenials
Sweden,1995,male,75+ years,120,280000,42.86,Sweden1995,0.856,"264,051,981,551",32072,G.I. Generation
Sweden,1995,male,35-54 years,371,1233900,30.07,Sweden1995,0.856,"264,051,981,551",32072,Boomers
Sweden,1995,male,55-74 years,233,794600,29.32,Sweden1995,0.856,"264,051,981,551",32072,Silent
Sweden,1995,male,25-34 years,134,640900,20.91,Sweden1995,0.856,"264,051,981,551",32072,Generation X
Sweden,1995,female,75+ years,78,453700,17.19,Sweden1995,0.856,"264,051,981,551",32072,G.I. Generation
Sweden,1995,female,35-54 years,163,1189500,13.7,Sweden1995,0.856,"264,051,981,551",32072,Boomers
Sweden,1995,male,15-24 years,75,557900,13.44,Sweden1995,0.856,"264,051,981,551",32072,Generation X
Sweden,1995,female,55-74 years,103,869100,11.85,Sweden1995,0.856,"264,051,981,551",32072,Silent
Sweden,1995,female,25-34 years,39,609100,6.4,Sweden1995,0.856,"264,051,981,551",32072,Generation X
Sweden,1995,female,15-24 years,28,534300,5.24,Sweden1995,0.856,"264,051,981,551",32072,Generation X
Sweden,1995,male,5-14 years,3,549300,0.55,Sweden1995,0.856,"264,051,981,551",32072,Millenials
Sweden,1995,female,5-14 years,1,520700,0.19,Sweden1995,0.856,"264,051,981,551",32072,Millenials
Sweden,1996,male,75+ years,113,287900,39.25,Sweden1996,,"288,103,936,773",34819,G.I. Generation
Sweden,1996,male,55-74 years,225,793800,28.34,Sweden1996,,"288,103,936,773",34819,Silent
Sweden,1996,male,35-54 years,326,1239400,26.3,Sweden1996,,"288,103,936,773",34819,Boomers
Sweden,1996,male,25-34 years,141,642400,21.95,Sweden1996,,"288,103,936,773",34819,Generation X
Sweden,1996,female,75+ years,68,465100,14.62,Sweden1996,,"288,103,936,773",34819,G.I. Generation
Sweden,1996,female,35-54 years,146,1196200,12.21,Sweden1996,,"288,103,936,773",34819,Boomers
Sweden,1996,male,15-24 years,66,550800,11.98,Sweden1996,,"288,103,936,773",34819,Generation X
Sweden,1996,female,55-74 years,96,863600,11.12,Sweden1996,,"288,103,936,773",34819,Silent
Sweden,1996,female,25-34 years,45,611400,7.36,Sweden1996,,"288,103,936,773",34819,Generation X
Sweden,1996,female,15-24 years,24,527200,4.55,Sweden1996,,"288,103,936,773",34819,Generation X
Sweden,1996,female,5-14 years,2,533300,0.38,Sweden1996,,"288,103,936,773",34819,Millenials
Sweden,1996,male,5-14 years,1,563200,0.18,Sweden1996,,"288,103,936,773",34819,Millenials
Sweden,1997,male,75+ years,106,293200,36.15,Sweden1997,,"264,477,727,279",31821,G.I. Generation
Sweden,1997,male,55-74 years,227,799800,28.38,Sweden1997,,"264,477,727,279",31821,Silent
Sweden,1997,male,35-54 years,333,1241800,26.82,Sweden1997,,"264,477,727,279",31821,Boomers
Sweden,1997,male,25-34 years,125,643100,19.44,Sweden1997,,"264,477,727,279",31821,Generation X
Sweden,1997,male,15-24 years,63,542000,11.62,Sweden1997,,"264,477,727,279",31821,Generation X
Sweden,1997,female,35-54 years,138,1199600,11.5,Sweden1997,,"264,477,727,279",31821,Boomers
Sweden,1997,female,55-74 years,84,864300,9.72,Sweden1997,,"264,477,727,279",31821,Silent
Sweden,1997,female,75+ years,43,472800,9.09,Sweden1997,,"264,477,727,279",31821,G.I. Generation
Sweden,1997,female,25-34 years,42,613100,6.85,Sweden1997,,"264,477,727,279",31821,Generation X
Sweden,1997,female,15-24 years,34,518700,6.55,Sweden1997,,"264,477,727,279",31821,Generation X
Sweden,1997,female,5-14 years,3,545900,0.55,Sweden1997,,"264,477,727,279",31821,Millenials
Sweden,1997,male,5-14 years,3,577000,0.52,Sweden1997,,"264,477,727,279",31821,Millenials
Sweden,1998,male,75+ years,129,297400,43.38,Sweden1998,,"266,800,462,899",31966,G.I. Generation
Sweden,1998,male,55-74 years,250,812600,30.77,Sweden1998,,"266,800,462,899",31966,Silent
Sweden,1998,male,35-54 years,325,1241400,26.18,Sweden1998,,"266,800,462,899",31966,Boomers
Sweden,1998,male,25-34 years,119,640900,18.57,Sweden1998,,"266,800,462,899",31966,Generation X
Sweden,1998,female,75+ years,59,478400,12.33,Sweden1998,,"266,800,462,899",31966,G.I. Generation
Sweden,1998,female,55-74 years,107,872000,12.27,Sweden1998,,"266,800,462,899",31966,Silent
Sweden,1998,male,15-24 years,57,534000,10.67,Sweden1998,,"266,800,462,899",31966,Generation X
Sweden,1998,female,35-54 years,119,1199900,9.92,Sweden1998,,"266,800,462,899",31966,Boomers
Sweden,1998,female,25-34 years,35,612500,5.71,Sweden1998,,"266,800,462,899",31966,Generation X
Sweden,1998,female,15-24 years,28,510700,5.48,Sweden1998,,"266,800,462,899",31966,Generation X
Sweden,1998,male,5-14 years,2,589000,0.34,Sweden1998,,"266,800,462,899",31966,Millenials
Sweden,1998,female,5-14 years,1,557500,0.18,Sweden1998,,"266,800,462,899",31966,Millenials
Sweden,1999,male,75+ years,122,300569,40.59,Sweden1999,,"270,847,937,645",32328,G.I. Generation
Sweden,1999,male,55-74 years,239,830817,28.77,Sweden1999,,"270,847,937,645",32328,Silent
Sweden,1999,male,35-54 years,317,1240536,25.55,Sweden1999,,"270,847,937,645",32328,Boomers
Sweden,1999,male,25-34 years,103,635058,16.22,Sweden1999,,"270,847,937,645",32328,Generation X
Sweden,1999,male,15-24 years,78,527294,14.79,Sweden1999,,"270,847,937,645",32328,Generation X
Sweden,1999,female,35-54 years,141,1200105,11.75,Sweden1999,,"270,847,937,645",32328,Boomers
Sweden,1999,female,75+ years,52,482165,10.78,Sweden1999,,"270,847,937,645",32328,G.I. Generation
Sweden,1999,female,55-74 years,88,885033,9.94,Sweden1999,,"270,847,937,645",32328,Silent
Sweden,1999,female,25-34 years,45,608461,7.4,Sweden1999,,"270,847,937,645",32328,Generation X
Sweden,1999,female,15-24 years,32,503923,6.35,Sweden1999,,"270,847,937,645",32328,Generation X
Sweden,1999,male,5-14 years,3,597532,0.5,Sweden1999,,"270,847,937,645",32328,Millenials
Sweden,1999,female,5-14 years,0,566520,0.0,Sweden1999,,"270,847,937,645",32328,Millenials
