country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Mexico,2010,male,75+ years,165,1187437,13.9,Mexico2010,0.746,"1,057,801,282,051",9991,Silent
Mexico,2010,male,25-34 years,936,9704369,9.65,Mexico2010,0.746,"1,057,801,282,051",9991,Generation X
Mexico,2010,male,15-24 years,1074,11192708,9.6,Mexico2010,0.746,"1,057,801,282,051",9991,Millenials
Mexico,2010,male,35-54 years,1191,13117850,9.08,Mexico2010,0.746,"1,057,801,282,051",9991,Generation X
Mexico,2010,male,55-74 years,483,5353293,9.02,Mexico2010,0.746,"1,057,801,282,051",9991,Silent
Mexico,2010,female,15-24 years,350,10827976,3.23,Mexico2010,0.746,"1,057,801,282,051",9991,Millenials
Mexico,2010,female,25-34 years,177,9676184,1.83,Mexico2010,0.746,"1,057,801,282,051",9991,Generation X
Mexico,2010,female,35-54 years,231,13887708,1.66,Mexico2010,0.746,"1,057,801,282,051",9991,Generation X
Mexico,2010,female,55-74 years,62,5735458,1.08,Mexico2010,0.746,"1,057,801,282,051",9991,Silent
Mexico,2010,male,5-14 years,109,11983471,0.91,Mexico2010,0.746,"1,057,801,282,051",9991,Generation Z
Mexico,2010,female,5-14 years,73,11534311,0.63,Mexico2010,0.746,"1,057,801,282,051",9991,Generation Z
Mexico,2010,female,75+ years,7,1675096,0.42,Mexico2010,0.746,"1,057,801,282,051",9991,Silent
Mexico,2011,male,75+ years,156,1236980,12.61,Mexico2011,0.748,"1,180,489,563,964",10965,Silent
Mexico,2011,male,15-24 years,1308,11318362,11.56,Mexico2011,0.748,"1,180,489,563,964",10965,Millenials
Mexico,2011,male,25-34 years,1024,9792087,10.46,Mexico2011,0.748,"1,180,489,563,964",10965,Millenials
Mexico,2011,male,35-54 years,1326,13558864,9.78,Mexico2011,0.748,"1,180,489,563,964",10965,Generation X
Mexico,2011,male,55-74 years,533,5562736,9.58,Mexico2011,0.748,"1,180,489,563,964",10965,Boomers
Mexico,2011,female,15-24 years,439,10955599,4.01,Mexico2011,0.748,"1,180,489,563,964",10965,Millenials
Mexico,2011,female,25-34 years,225,9731711,2.31,Mexico2011,0.748,"1,180,489,563,964",10965,Millenials
Mexico,2011,female,35-54 years,222,14331297,1.55,Mexico2011,0.748,"1,180,489,563,964",10965,Generation X
